eid	pid	name	entity
235	836926	the-holy-grail-of-auto-trading-revealed	836926
236	760990	excel-4-accountants-bookkeepers-master-lookup-fuctions	760990
237	722174	trade-forex	722174
238	407984	financial-model-basics-build-a-model-from-start-to-finish	407984
239	1046724	quantitative-trading-analysis-with-r	1046724
240	584410	investing-learn-how-to-build-a-dividend-portfolio-step-by-step	584410
241	881378	forex-trading-ultimate-course-to-get-you-started	881378
242	358062	learn-how-to-value-a-company-and-build-a-dcf-model	358062
243	502240	investing-stars	502240
244	402836	financial-statements-101-how-to-read-a-balance-sheet	402836
245	576946	introduction-to-bookkeeping-and-accounting	576946
246	438174	introduction-to-forex	438174
247	297742	build-a-dcf-valuation-model	297742
248	625568	charting-for-beginners-101	625568
249	49886	usecases	49886
250	575676	investment-basics-lets-invest-series	575676
251	637176	build-basic-financial-models-valuation-companies-the-easy-way	637176
252	803028	optimizing-investment-to-maximise-your-return	803028
253	738910	where-white-people-keep-their-money	738910
254	673016	build-a-career-in-forex-trading-learn-fundamental-analysis	673016
255	754028	accounting-in-less-then-one-hour	754028
256	375594	financial-management-a-complete-study	375594
257	44836	option-spreads-and-credit-spreads-bundle	44836
258	151668	financial-modeling-asimplemodel	151668
259	677802	how-to-pay-off-debt	677802
260	808506	testing-candlesticks	808506
261	777444	finance-a-brief-introduction-and-basics-finance-101	777444
262	317572	accounting-1-simplified-for-you	317572
263	1335422	introduction-to-cost-accounting	1335422
264	546924	hacking-trading-through-economic-indicators	546924
265	316750	master-the-basics-of-trading-through-support-and-resistance	316750
266	703770	algorithmic-trading-bootcamp-metatrader4	703770
267	1090408	freebinaryoptions	1090408
268	920424	basic-option-strategies-trading-vertical-options	920424
269	907416	tudo-sobre-investimentos-em-renda-fixa	907416
270	294292	trading-stocks-successfully-01-ten-primary-reversal-patterns	294292
271	851106	crowdfund-investing-101-the-basics-of-equity-crowdfunding	851106
272	671578	forex-sos-course	671578
273	988804	7-steps-your-introduction-to-trading	988804
274	1188742	introduction-to-cryptocurrencies	1188742
275	774174	bitcoin-podcast	774174
276	191854	how-to-invest-in-the-stock-market-beginners	191854
277	133536	the-beginners-guide-to-the-stock-market	133536
278	474238	basic-excel-functions-to-analyze-large-data	474238
279	1209694	become-a-forex-trader	1209694
280	1148774	options-trading-101-the-basics	1148774
281	364810	double-your-forex-account-using-the-magic-ma-robot	364810
282	1218552	forex-for-beginners-easy-forex-trading-for-beginners	1218552
283	702138	bitcoin-investing	702138
284	1016996	introduction-to-corporate-finance	1016996
285	97338	forex-basics	97338
286	830994	etf-stock-options-non-directional-weekly-trading-system	830994
287	593460	use-fibonacci-on-thinkorswim-to-day-trade	593460
288	49798	bitcoin-or-how-i-learned-to-stop-worrying-and-love-crypto	49798
289	735550	trade-binary-options	735550
290	475032	advanced-options-concepts-for-options-stock-traders	475032
291	692722	profit-from-stock-market-crashes-the-short-selling-strategy	692722
292	919906	trading-options-for-income	919906
293	585752	forex-trading-robot-forex-trading	585752
294	480752	value-investing-rules	480752
295	637922	venture-capital-sector-overview-what-is-it-and-why-it-matters-to-you	637922
296	1267854	options-trading	1267854
297	429662	trend-following	429662
298	474928	intermediate-options-trading-concepts-for-stocks-and-options-traders	474928
299	515326	financial-performance-analysis	515326
300	718338	how-to-confidently-join-the-bitcoin-revolution	718338
301	889824	61-profit-in-1-month-shattering-your-trading-paradigm	889824
302	680044	learn-trading-binary-options-from-scratch-and-3-strategies	680044
303	720814	first-steps-to-trading-the-forexmarkets-technical-analysis	720814
304	42643	iron-condor-options-trading-strategy	42643
305	805336	introductory-forex-trading-course	805336
306	323950	the-magic-multiple-moving-average-forex-trading-system	323950
307	189996	payments	189996
308	521342	forex-trading-for-beginners-live-fx-examples	521342
309	934614	beginners-guide-to-stock-market-investing	934614
310	706942	forex-trading-for-beginners-q	706942
311	597716	make-consistent-profit-using-pullback-candlestick-strategy	597716
312	507486	secrets-of-stock-market-trading-revealed	507486
313	519776	how-to-build-your-million-dollar-stock-portfolio-from-zero	519776
314	941120	option-trading-for-rookies-make-and-manage-profitable-option-trades	941120
315	614472	advanced-forex-course	614472
316	1028792	forex-how-to-draw-trendline-correctly	1028792
317	818644	asset-backed-securities	818644
318	1046992	forex-education-school-pforex	1046992
319	1108028	accounting-for-business-owners	1108028
320	1068986	how-to-trade-stock-market-volatility	1068986
321	716828	futures-options	716828
322	737832	bitcoin-peer-investing	737832
323	931626	learn-to-trade-with-fibonacci-tools	931626
324	355622	forex-13-patterns-trade-with-precision	355622
325	737514	forex-secrets	737514
326	352150	trading-stocks-successfully-ten-rules-of-successful-trading	352150
327	42634	advanced-options-analysis	42634
328	42645	calendars-diagonals-butterfly-spreads	42645
329	240256	forex-breakout-profits-the-definitive-guide	240256
330	42651	straddles-and-strangles	42651
331	692176	apply-finance-concepts-for-smart-project-management	692176
332	439362	optionstrading	439362
333	403602	forex-killing-divergence-how-to-trade-with-precision	403602
334	42491	advanced-credit-spreads	42491
335	45136	weekly-options	45136
336	385218	financial-services	385218
337	42642	volume-analysis-basis	42642
338	717278	making-money-in-forex-market	717278
339	44319	calendar-spreads	44319
340	42442	become-an-options-trading-expert	42442
341	283780	build-a-dcf-model	283780
342	40039	forex-mastery	40039
343	323916	learn-how-to-use-channels-to-find-amazing-forex-entries	323916
344	576636	build-your-own-naked-trading-forex-robot	576636
345	45139	vix-index	45139
346	1050168	forex-trading-learn-moving-averages-from-scratch-to-pro	1050168
347	509918	how-to-create-forex-robots-no-programming-required	509918
348	42197	options-spreads-explained	42197
349	471428	crash-course-on-cost-of-capital-and-capital-structuring	471428
350	682514	beginner-trading-forex-strategy	682514
351	915206	metatrader4-platform-training	915206
352	500206	accounting-debits-and-credits	500206
353	998706	aprenda-a-realizar-trades-na-bolsa-dos-eua	998706
354	831170	currencyfair-currency-exchange	831170
355	638966	forex-robot-trading	638966
356	199822	ias-12-accounting-for-income-taxes-basics	199822
357	277022	how-to-beat-wall-street	277022
358	664444	understanding-bonds	664444
359	369726	como-ganar-dinero-invirtiendo-en-bolsa	369726
360	779000	beginners-forex-strategy	779000
361	226084	ias37-provisions-contingents-liabilities-assets	226084
362	270844	ias-1-presentation-of-financial-statements	270844
363	219682	ifrs-conceptual-framework-for-financial-reporting	219682
364	253810	ias-8-accounting-policies-changes-in-accounting-estimates	253810
365	191588	ias-10-events-after-reporting-date	191588
366	312860	ias-16-propertyplant-and-equipment	312860
367	249376	ifric-13-customer-loyalty-programmes-revenue	249376
368	190816	ias-18-revenue	190816
369	714530	e-fatura_irs-2015	714530
370	475170	seth-godin-freelancer-course	475170
371	1316818	cryptocurrency-course	1316818
372	1223900	cryptocurrency	1223900
373	1059278	build-a-shopify-dropshipping-business-from-scratch	1059278
374	637930	an-entire-mba-in-1-courseaward-winning-business-school-prof	637930
375	1164388	the-art-of-evangelism	1164388
376	616958	idea-generation-coming-up-with-killer-business-deas	616958
377	1247304	facebook-ads-for-e-commerce-the-complete-guide	1247304
378	1269254	mba-in-a-box-business-lessons-from-a-ceo	1269254
379	1285944	amazon-fba-masterclass	1285944
380	715716	100k-blog-blueprint	715716
381	365516	import-from-alibaba	365516
382	637932	101-crucial-lessons-they-dont-teach-you-in-business-mba-school	637932
383	399444	entrepreneurship-course-by-guy-kawasaki	399444
384	662354	intro-to-entrepreneurship-get-started-as-an-entrepreneur	662354
385	810012	make-millions-on-amazon	810012
386	472704	1-day-mvp-find-the-right-idea-and-build-a-demo-in-1-day	472704
387	993480	a-master-class-in-value-creation	993480
388	704332	from-china-to-amazon-a-live-case-study-and-complete-guide	704332
389	731434	fast-mba	731434
390	117652	how-to-raise-over-400k-with-crowdfunding-and-kickstarter	117652
391	1193610	kindleautopilot	1193610
392	483166	outsource-your-idea-launch-your-business-for-14-the-price	483166
393	122352	cold-emailing	122352
394	629344	merchbyamazon	629344
395	1240964	microsoft-dynamics-365-online-training-introduction-course	1240964
396	792598	business-bootcamp	792598
397	369660	launch-your-idea-idea-to-mvp-with-no-cto-and-no-coding	369660
398	444504	rapid-prototyping-for-entrepreneurs-build-a-demo-in-2-hours	444504
399	521580	essential-guide-to-making-apps-without-prior-experience	521580
400	1050700	business-development-masterclass-learn-to-build-businesses	1050700
401	844128	make-millions-using-alibaba	844128
402	951854	mandarin-traditional-chinese-an-entire-mba-in-1-course	951854
403	1058614	build-a-blog	1058614
404	484008	unofficial-udemy-instructor-tips-marketing-that-works	484008
405	176758	how-to-start-a-business-go-from-business-idea-to-a-business	176758
406	1259942	retail-arbitrage-pro-utilize-amazon-to-your-advantage	1259942
407	558076	arbitrage	558076
408	1053758	entrepreneurship-part-time-entrepreneur-course	1053758
409	686774	learn-alibaba	686774
410	833782	entrepreneurship-the-8-step-business-launch-program-from-eazl	833782
411	376015	create-my-independence-with-blogging	376015
412	950710	how-to-get-more-done-in-3-hours-than-most-do-in-3-days	950710
413	1282672	shopify-drop-ship-mastery	1282672
414	1311400	cpa-marketing-mastery-innovation	1311400
415	1035002	create-and-sell-your-own-online-course	1035002
416	708984	find-high-quality-clients-on-upwork	708984
417	1088428	amazon-fba-start-to-finish-guide-dominate-your-competition	1088428
418	690538	roadmap-to-earning-an-income-as-a-successful-web-developer	690538
419	939206	dan-ariely-on-changing-customer-behavior	939206
420	1303850	steemitcourse	1303850
421	644514	create-your-first-profitable-online-business	644514
422	614640	build-affiliate-marketing-web-sites	614640
423	602716	entrepreneur-productivity-hacks	602716
424	1265802	steemit-blogging-social-media-that-pays-work-from-home	1265802
425	1305127	facebook-shopify-dropshipping-combo-course	1305127
426	1180062	the-ultimate-guide-to-drop-shipping-using-aliexpress	1180062
427	1170618	all-about-shopify	1170618
428	784130	basics-of-javascript-coding	784130
429	876700	twitter2016	876700
430	389982	product-creation-alchemy-product-launch-blueprint	389982
431	1303152	how-to-start-a-business-on-fiverr	1303152
432	986604	master-strategic-thinking-and-problem-solving-skills	986604
433	514920	create-a-local-video-marketing-agency	514920
434	872326	communicate-like-a-leader-how-to-get-people-to-listen-lite	872326
435	936974	practical-mba-in-entrepreneurship	936974
436	881970	profitable-ebay-drop-shipping-business	881970
437	634256	how-to-create-a-fulfilling-career-by-teaching-online	634256
438	800406	quick-start-for-learning-html-basics	800406
439	1229542	amazon-dropship-mastery	1229542
440	1111788	sells-like-hot-cakes-turnkey-amazon-fba-shopify-system	1111788
441	1303808	how-to-become-millionaire-on-upwork	1303808
442	618772	amazo-quickstart-amazon-amazing-selling-machine-alternative	618772
443	1182116	t-shirt-drop-shipping-in-4-easy-steps-build-your-store	1182116
444	674652	wordpress-essentials-step-by-step-setup-and-using-wordpress	674652
445	654998	alibaba-import-business-blueprint-build-your-import-empire	654998
446	944322	wordpress-for-business-management-of-your-own-website	944322
447	823902	find-and-evaluate-new-startup-ideas	823902
448	935166	drop-shipping-custom-shirts	935166
449	1301302	ethereum-cryptocurrency-blockchain-solidity-ethereum-bitcoin-crypto	1301302
450	811164	2016-etsy-shop-complete-guide-and-tricks	811164
451	574878	web-developer-course-on-creating-a-business-website	574878
452	942934	create-successful-apps-easily-without-programming	942934
453	943714	wordpress-for-business-using-the-wordpress-dashboard	943714
454	848848	how-to-build-a-buzzfeed-style-blog-on-wordpress	848848
455	571142	building-an-etsy-business-in-30-days-challenge-tutorial	571142
456	960770	passive-income-streams-for-busy-entrepreneurs	960770
457	715660	ultimate-entrepreneur-course	715660
458	1240326	the-complete-soft-skills-course-for-techies-and-coders	1240326
459	378782	leanstartup	378782
460	1304664	find-your-niche	1304664
461	854964	twitter-marketing-service-home-business	854964
462	379838	lifestyle-business-entrepreneur	379838
463	1046908	see-how-i-make-killing-on-amazon-kindle-store	1046908
464	768326	entrepreneurship-success-mindset	768326
465	826620	wordpress-ecommerce-quick-start	826620
466	593666	deytips-ebay-marketing	593666
467	814234	the-complete-guide-to-creating-selling-courses-on-udemy	814234
468	548194	the-many-ways-to-create-an-online-career-from-home	548194
469	471060	social-entrepreneurship-lean-startup	471060
470	627428	fundraising101-pitch-fund-and-kickstart-a-video-project	627428
471	943384	wordpress-setup-install-guide-setting-up-a-website	943384
472	951326	fiverr-gigs-you-can-sell-on-fiverr	951326
473	658622	how-to-start-and-grow-your-online-agency	658622
474	1199684	business-growth-essentials-read-before-you-launch-your-business	1199684
475	541594	how-i-make-a-living-without-a-job	541594
476	848876	the-ultimate-guide-to-building-a-viral-website-like-buzzfeed	848876
477	515702	how-i-built-an-online-business	515702
478	401554	linkedin-lead-gen	401554
479	525760	100-plus-great-ideas-to-make-extra-money-and-build-passive-income	525760
480	950478	find-freelance-work-with-zero-experience	950478
481	710170	how-to-host-a-meeting-online	710170
482	628322	fundraising-advice-from-a-successful-venture-capitalist	628322
483	1324942	start-online-dropshipping-business-shopify-aliexpress	1324942
484	883946	startupmasterclass	883946
485	805704	how-to-start-a-business-with-no-money-borrowing-or-credit	805704
486	1046248	amazon-privet-label-launch-elite-masters-class-rank-now-j	1046248
487	538036	seo-for-developers-technical-seo	538036
488	1008516	merch-by-amazon-how-to-research-market-t-shirts	1008516
489	713436	firsttimeeventplanning	713436
490	950264	clickbank-vendor-success-create-sell-your-first-product	950264
491	836830	executive-coaching-and-business-case-development	836830
492	1002392	freelance-bootcamp-comprehensive-guide-to-freelancing	1002392
493	729636	upwork-guide-to-becoming-a-freelance-superstar	729636
494	959484	freelance-marketing	959484
495	444478	the-import-from-china-course-the-beginners-guide	444478
496	810312	streetwear-brand	810312
497	646684	domain-name-essentials	646684
498	1068516	infopreneur-create-information-products-and-online-courses	1068516
499	421180	hackathon	421180
500	1153624	the-ultimate-fiverr-course	1153624
501	702214	wordpress-install	702214
502	362824	learn-earn-make-5000-dollars-month-ebooks-video-courses	362824
503	660534	creative-thinking	660534
504	145860	hackkickstarter	145860
505	578192	online-sourcing-made-easy	578192
506	432164	selling-you	432164
507	806708	business-budget	806708
508	841480	mba-completo-en-1-curso	841480
509	851442	quityourjob	851442
510	1272202	business-coaching-paket-fuhre-dein-unternehmen-zum-erfolg	1272202
511	747022	niche-clients-7days	747022
512	391750	entrepreneurship-start-a-business-from-scratch	391750
513	618110	how-to-build-an-awesome-online-lifestyle-business	618110
514	722584	create-a-profitable-ecommerce-business	722584
515	685306	freelance-masterclass-work-from-anywhere	685306
516	490356	12-steps-business-case-development	490356
517	747320	secrets-of-a-six-figure-upwork	747320
518	555798	entrepreneur-from-bedroom-the-basics	555798
519	893524	how-to-create-a-winning-info-product-in-5-days	893524
520	690284	starting-running-and-growing-a-web-design-business	690284
521	515322	the-professional-guide-to-importing-from-china	515322
522	140140	the-best-startup-investor-pitch-deck	140140
523	762706	100k-blog-blueprint-quick-course	762706
524	82982	intro-to-quantum-leaping	82982
525	654452	growth-hacking-your-business-ideas	654452
526	479690	captivate-your-audience-be-a-great-and-authentic-presenter	479690
527	647104	8020-business-entrepreneur	647104
528	842270	fiverr-crusher-succeed-on-fiverr-for-beginners	842270
529	505804	innovate-your-business-model-in-just-1-hour	505804
530	1219774	wealth-creator-mindset	1219774
531	821948	create-and-sell-audiobooks	821948
532	506266	the-art-of-body-language	506266
533	665382	entrepreneurship-with-purpose-by-tony-gaskins	665382
534	216842	self-publish-your-childrens-book-from-start-to-finish	216842
535	1332552	shopify-or-woocommerce	1332552
536	1180656	shopify-bootcamp-increase-your-stores-conversion-rate	1180656
537	608418	upwork-online-freelancing-success	608418
538	794532	createmanageyourownhomebasedbusiness	794532
539	1159948	teaching-online-strategies-for-success	1159948
540	733130	llc-limited-liability-company	733130
541	981064	50-places-to-work-online-as-a-freelancer-and-find-freelance-jobs	981064
542	932548	how-to-set-up-a-walmart-to-ebay-dropshipping-business	932548
543	30481	founders-pie-calculator	30481
544	628540	youtube-on-steroids-rank-multiple-keywords-in-1-hours	628540
545	913222	amazon-to-ebay-dropshipping-home-business-starter-course	913222
546	880240	you-can-be-a-world-class-master-marketer-entrepreneur-1	880240
547	610338	how-to-become-the-go-to-authority-in-your-industry	610338
548	941884	shopify-facebook-mastery	941884
549	1215660	how-to-build-an-ecommerce-store-with-wordpress-woocommerce	1215660
550	644490	the-complete-business-modelling-course	644490
551	1153034	the-complete-shopify-aliexpress-dropship-course	1153034
552	964414	unternehmensgrundung-leicht-gemacht	964414
553	172426	how-to-validate-any-business-idea	172426
554	1035562	how-to-work-online-and-travel-the-world	1035562
555	15044	lean-startup-sxsw-2012-videos-and-presentations	15044
556	908892	formacao-design-thinking	908892
557	948488	merch-by-amazon	948488
558	1057992	the-complete-aliexpress-dropshipping-course	1057992
559	841542	onsite-seo-using-google-search-console-webmaster-tools	841542
560	536248	wordpress-com-vs-wordpress-org-explained	536248
561	1266346	amazon-fba-university	1266346
562	1170624	ditch-the-inventory-dropship	1170624
563	1077818	books-entrepreneur	1077818
564	814440	youtube-for-a-living	814440
565	995660	work-from-home-with-dropshipping-with-aliexpress-passive-income	995660
566	60670	learn-how-to-build-ecommerce-website-from-scratch	60670
567	528682	entrepreneur-hustler	528682
568	312322	inside-nlp-for-business-organizational-entities-strategy	312322
