eid	name	entity
307	189996	189996
308	521342	521342
309	934614	934614
310	706942	706942
311	597716	597716
312	507486	507486
313	519776	519776
314	941120	941120
315	614472	614472
316	1028792	1028792
317	818644	818644
318	1046992	1046992
319	1108028	1108028
320	1068986	1068986
321	716828	716828
322	737832	737832
323	931626	931626
324	355622	355622
325	737514	737514
326	352150	352150
327	42634	42634
328	42645	42645
329	240256	240256
330	42651	42651
331	692176	692176
332	439362	439362
333	403602	403602
334	42491	42491
335	45136	45136
336	385218	385218
337	42642	42642
338	717278	717278
339	44319	44319
340	42442	42442
341	283780	283780
342	40039	40039
343	323916	323916
344	576636	576636
345	45139	45139
346	1050168	1050168
347	509918	509918
348	42197	42197
349	471428	471428
350	682514	682514
351	915206	915206
352	500206	500206
353	998706	998706
354	831170	831170
355	638966	638966
356	199822	199822
357	277022	277022
358	664444	664444
359	369726	369726
360	779000	779000
361	226084	226084
362	270844	270844
363	219682	219682
364	253810	253810
365	191588	191588
366	312860	312860
367	249376	249376
368	190816	190816
369	714530	714530
370	475170	475170
371	1316818	1316818
372	1223900	1223900
373	1059278	1059278
374	637930	637930
375	1164388	1164388
376	616958	616958
377	1247304	1247304
378	1269254	1269254
379	1285944	1285944
380	715716	715716
381	365516	365516
382	637932	637932
383	399444	399444
384	662354	662354
385	810012	810012
386	472704	472704
387	993480	993480
388	704332	704332
389	731434	731434
390	117652	117652
391	1193610	1193610
392	483166	483166
393	122352	122352
394	629344	629344
395	1240964	1240964
396	792598	792598
397	369660	369660
398	444504	444504
399	521580	521580
400	1050700	1050700
401	844128	844128
402	951854	951854
403	1058614	1058614
404	484008	484008
405	176758	176758
406	1259942	1259942
407	558076	558076
408	1053758	1053758
409	686774	686774
410	833782	833782
411	376015	376015
412	950710	950710
413	1282672	1282672
414	1311400	1311400
415	1035002	1035002
416	708984	708984
417	1088428	1088428
418	690538	690538
419	939206	939206
420	1303850	1303850
421	644514	644514
422	614640	614640
423	602716	602716
424	1265802	1265802
425	1305127	1305127
426	1180062	1180062
427	1170618	1170618
428	784130	784130
429	876700	876700
430	389982	389982
431	1303152	1303152
432	986604	986604
433	514920	514920
434	872326	872326
435	936974	936974
436	881970	881970
437	634256	634256
438	800406	800406
439	1229542	1229542
440	1111788	1111788
441	1303808	1303808
442	618772	618772
443	1182116	1182116
444	674652	674652
445	654998	654998
446	944322	944322
447	823902	823902
448	935166	935166
449	1301302	1301302
450	811164	811164
451	574878	574878
452	942934	942934
453	943714	943714
454	848848	848848
455	571142	571142
456	960770	960770
457	715660	715660
458	1240326	1240326
459	378782	378782
460	1304664	1304664
461	854964	854964
462	379838	379838
463	1046908	1046908
464	768326	768326
465	826620	826620
466	593666	593666
467	814234	814234
468	548194	548194
469	471060	471060
470	627428	627428
471	943384	943384
472	951326	951326
473	658622	658622
474	1199684	1199684
475	541594	541594
476	848876	848876
477	515702	515702
478	401554	401554
479	525760	525760
480	950478	950478
481	710170	710170
482	628322	628322
483	1324942	1324942
484	883946	883946
485	805704	805704
486	1046248	1046248
487	538036	538036
488	1008516	1008516
489	713436	713436
490	950264	950264
491	836830	836830
492	1002392	1002392
493	729636	729636
494	959484	959484
495	444478	444478
496	810312	810312
497	646684	646684
498	1068516	1068516
499	421180	421180
500	1153624	1153624
501	702214	702214
502	362824	362824
503	660534	660534
504	145860	145860
505	578192	578192
506	432164	432164
507	806708	806708
508	841480	841480
509	851442	851442
510	1272202	1272202
511	747022	747022
512	391750	391750
513	618110	618110
514	722584	722584
515	685306	685306
516	490356	490356
517	747320	747320
518	555798	555798
519	893524	893524
520	690284	690284
521	515322	515322
522	140140	140140
523	762706	762706
524	82982	82982
525	654452	654452
526	479690	479690
527	647104	647104
528	842270	842270
529	505804	505804
530	1219774	1219774
531	821948	821948
532	506266	506266
533	665382	665382
534	216842	216842
535	1332552	1332552
536	1180656	1180656
537	608418	608418
538	794532	794532
539	1159948	1159948
540	733130	733130
541	981064	981064
542	932548	932548
543	30481	30481
544	628540	628540
545	913222	913222
546	880240	880240
547	610338	610338
548	941884	941884
549	1215660	1215660
550	644490	644490
551	1153034	1153034
552	964414	964414
553	172426	172426
554	1035562	1035562
555	15044	15044
556	908892	908892
557	948488	948488
558	1057992	1057992
559	841542	841542
560	536248	536248
561	1266346	1266346
562	1170624	1170624
563	1077818	1077818
564	814440	814440
565	995660	995660
566	60670	60670
567	528682	528682
568	312322	312322
569	654790	654790
570	845626	845626
571	839478	839478
572	79860	79860
573	728780	728780
574	306906	306906
575	632980	632980
576	515398	515398
577	54566	54566
578	1050058	1050058
579	498224	498224
580	445920	445920
581	1345240	1345240
582	404576	404576
583	1221770	1221770
584	719322	719322
585	1048958	1048958
586	627298	627298
587	508588	508588
588	1046200	1046200
589	541428	541428
590	278809	278809
591	887636	887636
592	1091958	1091958
593	896042	896042
594	75742	75742
595	1056952	1056952
596	253536	253536
597	8467	8467
598	618962	618962
599	1272566	1272566
600	363578	363578
601	889354	889354
602	854228	854228
603	422476	422476
604	667500	667500
605	533422	533422
606	594468	594468
607	729224	729224
608	928478	928478
609	887542	887542
610	604314	604314
611	673658	673658
612	1769	1769
613	406458	406458
614	430706	430706
615	758818	758818
616	631656	631656
617	874112	874112
618	631854	631854
619	1029864	1029864
620	337074	337074
621	799708	799708
622	187850	187850
623	759126	759126
624	802028	802028
625	702928	702928
626	272678	272678
627	531984	531984
628	631660	631660
629	124758	124758
630	819862	819862
631	220926	220926
632	1084036	1084036
633	449542	449542
634	547072	547072
635	233966	233966
636	468916	468916
637	733452	733452
638	26090	26090
639	807164	807164
640	515532	515532
641	881914	881914
642	519498	519498
643	511168	511168
644	482996	482996
645	974826	974826
646	733468	733468
647	320550	320550
648	625390	625390
649	783526	783526
650	812838	812838
651	166170	166170
652	490382	490382
653	471530	471530
654	151362	151362
655	852192	852192
656	196152	196152
657	736456	736456
658	1325746	1325746
659	963844	963844
660	994402	994402
661	1098006	1098006
662	1007244	1007244
663	335610	335610
664	484114	484114
665	144228	144228
666	672842	672842
667	1280842	1280842
668	722080	722080
669	833052	833052
670	38097	38097
671	701188	701188
672	394084	394084
673	994426	994426
674	572350	572350
675	760814	760814
676	683506	683506
677	1332152	1332152
678	1050850	1050850
679	139200	139200
680	1124508	1124508
681	827314	827314
682	1113656	1113656
683	718870	718870
684	691712	691712
685	206886	206886
686	1163876	1163876
687	856314	856314
688	137144	137144
689	28903	28903
690	461546	461546
691	276058	276058
692	830978	830978
693	1157514	1157514
694	376096	376096
695	723280	723280
696	397676	397676
697	921602	921602
698	139166	139166
699	30704	30704
700	1059808	1059808
701	20743	20743
702	965194	965194
703	86192	86192
704	159998	159998
705	408556	408556
706	242856	242856
707	409306	409306
708	296403	296403
709	1343962	1343962
710	56713	56713
711	196320	196320
712	427836	427836
713	242886	242886
714	932802	932802
715	549516	549516
716	1234888	1234888
717	171838	171838
718	878046	878046
719	1076610	1076610
720	26589	26589
721	1333640	1333640
722	629374	629374
723	365070	365070
724	77652	77652
725	1261538	1261538
726	1335042	1335042
727	481434	481434
728	224944	224944
729	441848	441848
730	560720	560720
731	103602	103602
732	60318	60318
733	414930	414930
734	600608	600608
735	125200	125200
736	285934	285934
737	137250	137250
738	371666	371666
739	281634	281634
740	293126	293126
741	579468	579468
742	1074696	1074696
743	801182	801182
744	321716	321716
745	846566	846566
746	1038008	1038008
747	484088	484088
748	450914	450914
749	467596	467596
750	1034860	1034860
751	470846	470846
752	265642	265642
753	409634	409634
754	1066422	1066422
755	224138	224138
756	342762	342762
757	25671	25671
758	64846	64846
759	280384	280384
760	336400	336400
761	194608	194608
762	334330	334330
763	23881	23881
764	126290	126290
765	478138	478138
766	799262	799262
767	584666	584666
768	383604	383604
769	323448	323448
770	673654	673654
771	646076	646076
772	508302	508302
773	482564	482564
774	48044	48044
775	1189242	1189242
776	51345	51345
777	868432	868432
778	1332992	1332992
779	939930	939930
780	129118	129118
781	679990	679990
782	613808	613808
783	614584	614584
784	727526	727526
785	636348	636348
786	1001908	1001908
787	47666	47666
788	615558	615558
789	622130	622130
790	164682	164682
791	852606	852606
792	878272	878272
793	357898	357898
794	484014	484014
795	242512	242512
796	34268	34268
797	1189148	1189148
798	170844	170844
799	684890	684890
800	1094032	1094032
801	842300	842300
802	354886	354886
803	74074	74074
804	1071124	1071124
805	437860	437860
806	1297046	1297046
807	115440	115440
808	280332	280332
809	429062	429062
810	640940	640940
811	189116	189116
812	1239992	1239992
813	474246	474246
814	358740	358740
815	582648	582648
816	582750	582750
817	427140	427140
818	965044	965044
819	292038	292038
820	78104	78104
821	821278	821278
822	405440	405440
823	942390	942390
824	524686	524686
825	615950	615950
826	526000	526000
827	585066	585066
828	483692	483692
829	585064	585064
830	734242	734242
831	93980	93980
832	15305	15305
833	543984	543984
834	357334	357334
835	321770	321770
836	332140	332140
837	57427	57427
838	984894	984894
839	680522	680522
840	372624	372624
841	528192	528192
842	743562	743562
843	403770	403770
844	891040	891040
845	739204	739204
846	200994	200994
847	245090	245090
848	875542	875542
849	378912	378912
850	619692	619692
851	107672	107672
852	563478	563478
853	1301360	1301360
854	1061952	1061952
855	372782	372782
856	1295682	1295682
857	738928	738928
858	542510	542510
859	589862	589862
860	387400	387400
861	189940	189940
862	421540	421540
863	884138	884138
864	206636	206636
865	164228	164228
866	519050	519050
867	840772	840772
868	204562	204562
869	377630	377630
870	410274	410274
871	481380	481380
872	17029	17029
873	727840	727840
874	556434	556434
875	756462	756462
876	851362	851362
877	631674	631674
878	621330	621330
879	431986	431986
880	555984	555984
881	678518	678518
882	520206	520206
883	358280	358280
884	146500	146500
885	880460	880460
886	734570	734570
887	357322	357322
888	428174	428174
889	179174	179174
890	811952	811952
891	789686	789686
892	811950	811950
893	516484	516484
894	1160944	1160944
895	373308	373308
896	837156	837156
897	729646	729646
898	934616	934616
899	393614	393614
900	1025564	1025564
901	377576	377576
902	1196296	1196296
903	170840	170840
904	639536	639536
905	13019	13019
906	613786	613786
907	691629	691629
908	640212	640212
909	640198	640198
910	698362	698362
911	534240	534240
912	557894	557894
913	705770	705770
914	240450	240450
915	32781	32781
916	276894	276894
917	236370	236370
918	116636	116636
919	632782	632782
920	187864	187864
921	44090	44090
922	538664	538664
923	687720	687720
924	449050	449050
925	936952	936952
926	1230878	1230878
927	1158374	1158374
928	948310	948310
929	301456	301456
930	497274	497274
931	911158	911158
932	192084	192084
933	258770	258770
934	383708	383708
935	668114	668114
936	521780	521780
937	692300	692300
938	13034	13034
939	687726	687726
940	314744	314744
941	564552	564552
942	936754	936754
943	258162	258162
944	726470	726470
945	721484	721484
946	621364	621364
947	128908	128908
948	548018	548018
949	271534	271534
950	127214	127214
951	650758	650758
952	166002	166002
953	924980	924980
954	120978	120978
955	123570	123570
956	771686	771686
957	979552	979552
958	328266	328266
959	1024854	1024854
960	1000476	1000476
961	856992	856992
962	1108406	1108406
963	1030206	1030206
964	555696	555696
965	647410	647410
966	946742	946742
967	567564	567564
968	806710	806710
969	656720	656720
970	1163356	1163356
971	1171582	1171582
972	757588	757588
973	1061808	1061808
974	856486	856486
975	495870	495870
976	988574	988574
977	774404	774404
978	646068	646068
979	948850	948850
980	885605	885605
981	1037204	1037204
982	1119880	1119880
983	1092712	1092712
984	810712	810712
985	1150706	1150706
986	1065012	1065012
987	719132	719132
988	121890	121890
989	783758	783758
990	1146324	1146324
991	896264	896264
992	627174	627174
993	501238	501238
994	809304	809304
995	505136	505136
996	343172	343172
997	954790	954790
998	685058	685058
999	373524	373524
1000	1005292	1005292
1001	988624	988624
1002	749354	749354
1003	848496	848496
1004	317306	317306
1005	281672	281672
1006	758538	758538
1007	382182	382182
1008	352440	352440
1009	292612	292612
1010	729486	729486
1011	974562	974562
1012	1303982	1303982
1013	539130	539130
1014	812586	812586
1015	50132	50132
1016	573526	573526
1017	494266	494266
1018	529326	529326
1019	850600	850600
1020	520246	520246
1021	816622	816622
1022	770628	770628
1023	1152844	1152844
1024	59583	59583
1025	582450	582450
1026	658624	658624
1027	522094	522094
1028	468698	468698
1029	795718	795718
1030	280012	280012
1031	1025206	1025206
1032	558650	558650
1033	795758	795758
1034	430932	430932
1035	38374	38374
1036	739580	739580
1037	902680	902680
1038	710256	710256
1039	741364	741364
1040	364610	364610
1041	440118	440118
1042	228110	228110
1043	184840	184840
1044	860148	860148
1045	762616	762616
1046	937678	937678
1047	765242	765242
1048	946194	946194
1049	1080408	1080408
1050	713104	713104
1051	892806	892806
1052	918390	918390
1053	913448	913448
1054	1153742	1153742
1055	807904	807904
1056	1011712	1011712
1057	1175200	1175200
1058	887814	887814
1059	977062	977062
1060	903744	903744
1061	1007240	1007240
1062	513244	513244
1063	1208634	1208634
1064	1281492	1281492
1065	1251578	1251578
1066	1140660	1140660
1067	1298780	1298780
1068	996228	996228
1069	950390	950390
1070	944014	944014
1071	1151632	1151632
1072	846480	846480
1073	772462	772462
1074	1323630	1323630
1075	872834	872834
1076	540270	540270
1077	1036342	1036342
1078	1116032	1116032
1079	753140	753140
1080	1357844	1357844
1081	1219332	1219332
1082	751792	751792
1083	1041564	1041564
1084	831458	831458
1085	825684	825684
1086	1294188	1294188
1087	613946	613946
1088	1006562	1006562
1089	1025822	1025822
1090	214008	214008
1091	1121520	1121520
1092	664620	664620
1093	1123198	1123198
1094	992566	992566
1095	956254	956254
1096	536706	536706
1097	1184840	1184840
1098	841132	841132
1099	519406	519406
1100	942752	942752
1101	1015492	1015492
1102	691870	691870
1103	859184	859184
1104	1227150	1227150
1105	1121856	1121856
1106	379702	379702
1107	996610	996610
1108	1121854	1121854
1109	943442	943442
1110	857300	857300
1111	886024	886024
1112	857298	857298
1113	919922	919922
1114	971154	971154
1115	341502	341502
1116	783694	783694
1117	888090	888090
1118	995036	995036
1119	909354	909354
1120	542176	542176
1121	540450	540450
1122	1244764	1244764
1123	874860	874860
1124	1001410	1001410
1125	943898	943898
1126	389190	389190
1127	943842	943842
1128	382516	382516
1129	739992	739992
1130	462620	462620
1131	953614	953614
1132	1052174	1052174
1133	987786	987786
1134	747470	747470
1135	794306	794306
1136	468172	468172
1137	658516	658516
1138	964246	964246
1139	1019008	1019008
1140	550998	550998
1141	507714	507714
1142	852084	852084
1143	375842	375842
1144	416212	416212
1145	421216	421216
1146	573008	573008
1147	257414	257414
1148	690058	690058
1149	405520	405520
1150	824050	824050
1151	584472	584472
1152	52980	52980
1153	514982	514982
1154	942516	942516
1155	599732	599732
1156	776296	776296
1157	886032	886032
1158	461584	461584
1159	555462	555462
1160	439996	439996
1161	491482	491482
1162	591114	591114
1163	980086	980086
1164	1137212	1137212
1165	1278112	1278112
1166	491640	491640
1167	421758	421758
1168	779488	779488
1169	834782	834782
1170	937778	937778
1171	370774	370774
1172	330386	330386
1173	815868	815868
1174	1040480	1040480
1175	591194	591194
1176	746320	746320
1177	289534	289534
1178	820354	820354
1179	711872	711872
1180	687186	687186
1181	956132	956132
1182	719624	719624
1183	616072	616072
1184	754920	754920
1185	768828	768828
1186	1255012	1255012
1187	236676	236676
1188	586534	586534
1189	518152	518152
1190	1211566	1211566
1191	636340	636340
1192	599510	599510
1193	691892	691892
1194	579018	579018
1195	589876	589876
1196	215104	215104
1197	135794	135794
1198	84085	84085
1199	572380	572380
1200	524138	524138
1201	751392	751392
1202	817674	817674
1203	802286	802286
1204	393296	393296
1205	639568	639568
1206	906962	906962
1207	561824	561824
1208	590962	590962
1209	302174	302174
1210	532454	532454
1211	630578	630578
1212	500072	500072
1213	367468	367468
1214	150714	150714
1215	546700	546700
1216	272670	272670
1217	419658	419658
1218	310716	310716
1219	982844	982844
1220	408524	408524
1221	560388	560388
1222	338184	338184
1223	1205382	1205382
1224	274148	274148
1225	1111016	1111016
1226	1023068	1023068
1227	661030	661030
1228	437658	437658
1229	228668	228668
1230	557358	557358
1231	404753	404753
1232	1107110	1107110
1233	406938	406938
1234	538054	538054
1235	432064	432064
1236	1031662	1031662
1237	874828	874828
1238	562432	562432
1239	181564	181564
1240	364642	364642
1241	444286	444286
1242	784508	784508
1243	776150	776150
1244	449456	449456
1245	835510	835510
1246	415284	415284
1247	910544	910544
1248	671084	671084
1249	580316	580316
1250	1218896	1218896
1251	1281654	1281654
1252	310754	310754
1253	487450	487450
1254	1218414	1218414
1255	291962	291962
1256	847460	847460
1257	718680	718680
1258	320484	320484
1259	1296782	1296782
1260	375380	375380
1261	397394	397394
1262	647954	647954
1263	1024734	1024734
1264	436644	436644
1265	1047014	1047014
1266	96638	96638
1267	1104580	1104580
1268	803736	803736
1269	763320	763320
1270	703312	703312
1271	306308	306308
1272	483402	483402
1273	811466	811466
1274	920672	920672
1275	428366	428366
1276	437458	437458
1277	1024832	1024832
1278	1195506	1195506
1279	127438	127438
1280	561594	561594
1281	325686	325686
1282	337202	337202
1283	1364478	1364478
1284	886724	886724
1285	1156624	1156624
1286	453858	453858
1287	461100	461100
1288	305808	305808
1289	1204524	1204524
1290	15892	15892
1291	827278	827278
1292	518038	518038
1293	650276	650276
1294	976330	976330
1295	374368	374368
1296	704300	704300
1297	236832	236832
1298	1165460	1165460
1299	610996	610996
1300	1053634	1053634
1301	897174	897174
1302	819248	819248
1303	1185580	1185580
1304	495082	495082
1305	540813	540813
1306	528114	528114
1307	517404	517404
1308	611904	611904
1309	338804	338804
1310	366760	366760
1311	818294	818294
1312	312788	312788
1313	987254	987254
1314	838004	838004
1315	787458	787458
1316	806998	806998
1317	925970	925970
1318	545934	545934
1319	1103044	1103044
1320	495392	495392
1321	253398	253398
1322	238728	238728
1323	450694	450694
1324	437992	437992
1325	516460	516460
1326	537484	537484
1327	761290	761290
1328	786162	786162
1329	648736	648736
1330	756448	756448
1331	807458	807458
1332	1047330	1047330
1333	903030	903030
1334	838164	838164
1335	807700	807700
1336	952866	952866
1337	908300	908300
1338	305538	305538
1339	636808	636808
1340	835336	835336
1341	674342	674342
1342	867704	867704
1343	812766	812766
1344	1213026	1213026
1345	390104	390104
1346	934464	934464
1347	425094	425094
1348	399024	399024
1349	492172	492172
1350	493770	493770
1351	425742	425742
1352	391054	391054
1353	699808	699808
1354	410522	410522
1355	748182	748182
1356	667816	667816
1357	672926	672926
1358	170732	170732
1359	408054	408054
1360	884648	884648
1361	620040	620040
1362	319628	319628
1363	599272	599272
1364	450884	450884
1365	370926	370926
1366	689530	689530
1367	591186	591186
1368	813490	813490
1369	751154	751154
1370	771210	771210
1371	349380	349380
1372	700116	700116
1373	1128486	1128486
1374	559196	559196
1375	344044	344044
1376	241574	241574
1377	892210	892210
1378	667974	667974
1379	777156	777156
1380	1111882	1111882
1381	379804	379804
1382	1237960	1237960
1383	557586	557586
1384	535076	535076
1385	608272	608272
1386	220812	220812
1387	659068	659068
1388	418476	418476
1389	743152	743152
1390	620184	620184
1391	722070	722070
1392	1092318	1092318
1393	164850	164850
1394	591376	591376
1395	696134	696134
1396	840208	840208
1397	723064	723064
1398	1184506	1184506
1399	444384	444384
1400	1010620	1010620
1401	585550	585550
1402	906160	906160
1403	790288	790288
1404	148158	148158
1405	562720	562720
1406	637908	637908
1407	81534	81534
1408	632394	632394
1409	254788	254788
1410	801416	801416
1411	148032	148032
1412	723068	723068
1413	348940	348940
1414	606572	606572
1415	618128	618128
1416	597142	597142
1417	1013134	1013134
1418	1022836	1022836
1419	681828	681828
1420	860076	860076
1421	317454	317454
1422	753380	753380
1423	452336	452336
1424	377332	377332
1425	451950	451950
1426	609348	609348
1427	496954	496954
1428	666344	666344
1429	890928	890928
1430	971544	971544
1431	444470	444470
1432	312764	312764
1433	424302	424302
1434	536884	536884
1435	964340	964340
1436	549232	549232
1437	971614	971614
1438	708244	708244
1439	402890	402890
1440	569304	569304
1441	95560	95560
1442	205720	205720
1443	454036	454036
1444	706292	706292
1445	797856	797856
1446	745242	745242
1447	808596	808596
1448	876806	876806
1449	738868	738868
1450	125808	125808
1451	552670	552670
1452	701932	701932
1453	536482	536482
1454	788980	788980
1455	909996	909996
1456	363348	363348
1457	365672	365672
1458	645826	645826
1459	379374	379374
1460	484366	484366
1461	312042	312042
1462	490610	490610
1463	483304	483304
1464	385034	385034
1465	384724	384724
1466	483614	483614
1467	382244	382244
1468	383596	383596
1469	109376	109376
1470	698828	698828
1471	46257	46257
1472	692418	692418
1473	477266	477266
1474	512304	512304
1475	93620	93620
1476	97280	97280
1477	12137	12137
1478	378226	378226
1479	45993	45993
1480	46912	46912
1481	848412	848412
1482	1117832	1117832
1483	575308	575308
1484	540090	540090
1485	1240160	1240160
1486	1304420	1304420
1487	1156464	1156464
1488	303202	303202
1489	703972	703972
1490	784194	784194
1491	8075	8075
1492	983254	983254
1493	900004	900004
1494	787082	787082
1495	836292	836292
1496	633330	633330
1497	929494	929494
1498	274750	274750
1499	604626	604626
1500	997596	997596
1501	681824	681824
1502	416442	416442
1503	484070	484070
1504	669060	669060
1505	976738	976738
1506	267144	267144
1507	73776	73776
1508	407646	407646
1509	107080	107080
1510	433102	433102
1511	614930	614930
1512	327282	327282
1513	758034	758034
1514	681662	681662
1515	22253	22253
1516	891028	891028
1517	582056	582056
1518	384094	384094
1519	374976	374976
1520	195172	195172
1521	1288686	1288686
1522	592074	592074
1523	277388	277388
1524	128998	128998
1525	801394	801394
1526	160468	160468
1527	208412	208412
1528	579938	579938
1529	479950	479950
1530	25407	25407
1531	148902	148902
1532	33895	33895
1533	508614	508614
1534	660130	660130
1535	534592	534592
1536	343768	343768
1537	849466	849466
1538	755768	755768
1539	417540	417540
1540	1240362	1240362
1541	653550	653550
1542	428514	428514
1543	953294	953294
1544	412414	412414
1545	1093764	1093764
1546	492224	492224
1547	178242	178242
1548	47712	47712
1549	404944	404944
1550	656024	656024
1551	730320	730320
1552	165376	165376
1553	934992	934992
1554	828420	828420
1555	531400	531400
1556	388446	388446
1557	398020	398020
1558	523406	523406
1559	281508	281508
1560	385402	385402
1561	271228	271228
1562	1048360	1048360
1563	957940	957940
1564	352132	352132
1565	355212	355212
1566	1164278	1164278
1567	1109602	1109602
1568	1061202	1061202
1569	65208	65208
1570	812276	812276
1571	980462	980462
1572	8814	8814
1573	360538	360538
1574	1121676	1121676
1575	310072	310072
1576	1201470	1201470
1577	411446	411446
1578	54520	54520
1579	873506	873506
1580	644926	644926
1581	924702	924702
1582	768334	768334
1583	706050	706050
1584	831866	831866
1585	1023902	1023902
1586	1186774	1186774
1587	854206	854206
1588	629084	629084
1589	1268578	1268578
1590	1207814	1207814
1591	41878	41878
1592	926460	926460
1593	963408	963408
1594	676176	676176
1595	864758	864758
1596	674644	674644
1597	931376	931376
1598	614408	614408
1599	830836	830836
1600	966584	966584
1601	1158590	1158590
1602	378014	378014
1603	877298	877298
1604	1104096	1104096
1605	648120	648120
1606	1199060	1199060
1607	707190	707190
1608	928140	928140
